Textbox8,tbToday
Port Attributes Report,Report Generated: 10/30/2012

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

Port,Attribute,AttributeValue
CP05MOAS-GL006-04,depth_port_max,1000
CP05MOAS-GL006-04,depth_port_min,0
CP05MOAS-GL006-04,depth_subsite,
CP05MOAS-GL006-04,First Deployment Date,
CP05MOAS-GL006-04,latitude,
CP05MOAS-GL006-04,longitude,
CP05MOAS-GL006-04,Platform Agent Type,
CP05MOAS-GL006-04,Relative Depth,Sea surface to near seafloor or <= 1000
CP05MOAS-GL006-05,depth_port_max,1000
CP05MOAS-GL006-05,depth_port_min,0
CP05MOAS-GL006-05,depth_subsite,
CP05MOAS-GL006-05,First Deployment Date,
CP05MOAS-GL006-05,latitude,
CP05MOAS-GL006-05,longitude,
CP05MOAS-GL006-05,Platform Agent Type,
CP05MOAS-GL006-05,Relative Depth,Sea surface to near seafloor or <= 1000
GA01SUMO-RI002-02,depth_port_max,15
GA01SUMO-RI002-02,depth_port_min,15
GA01SUMO-RI002-02,depth_subsite,5200
GA01SUMO-RI002-02,First Deployment Date,2015-01
GA01SUMO-RI002-02,latitude,-42.9906
GA01SUMO-RI002-02,longitude,42.5104
GA01SUMO-RI002-02,Platform Agent Type,Shore CyberPoP - Global Mooring Server
GA01SUMO-RI002-02,Relative Depth,15 below sea surface
GA01SUMO-RI002-03,depth_port_max,615
GA01SUMO-RI002-03,depth_port_min,15
GA01SUMO-RI002-03,depth_subsite,5200
GA01SUMO-RI002-03,First Deployment Date,2015-01
GA01SUMO-RI002-03,latitude,-42.9906
GA01SUMO-RI002-03,longitude,42.5104
GA01SUMO-RI002-03,Platform Agent Type,Shore CyberPoP - Global Mooring Server
GA01SUMO-RI002-03,Relative Depth,Mounted at 15 measures down to 615
GA01SUMO-RI002-04,depth_port_max,15
GA01SUMO-RI002-04,depth_port_min,15
GA01SUMO-RI002-04,depth_subsite,5200
GA01SUMO-RI002-04,First Deployment Date,2015-01
GA01SUMO-RI002-04,latitude,-42.9906
GA01SUMO-RI002-04,longitude,42.5104
GA01SUMO-RI002-04,Platform Agent Type,Shore CyberPoP - Global Mooring Server
GA01SUMO-RI002-04,Relative Depth,15 below sea surface
GA01SUMO-RI002-05,depth_port_max,15
GA01SUMO-RI002-05,depth_port_min,15
GA01SUMO-RI002-05,depth_subsite,5200
GA01SUMO-RI002-05,First Deployment Date,2015-01
GA01SUMO-RI002-05,latitude,-42.9906
GA01SUMO-RI002-05,longitude,42.5104
GA01SUMO-RI002-05,Platform Agent Type,Shore CyberPoP - Global Mooring Server
GA01SUMO-RI002-05,Relative Depth,15 below sea surface
GA01SUMO-RI003-01,depth_port_max,20
GA01SUMO-RI003-01,depth_port_min,20
GA01SUMO-RI003-01,depth_subsite,5200
GA01SUMO-RI003-01,First Deployment Date,2015-01
GA01SUMO-RI003-01,latitude,-42.9906
GA01SUMO-RI003-01,longitude,42.5104
GA01SUMO-RI003-01,Platform Agent Type,Shore CyberPoP - Global Mooring Server
GA01SUMO-RI003-01,Relative Depth,20 below sea surface
GA01SUMO-RI003-02,depth_port_max,100
GA01SUMO-RI003-02,depth_port_min,100
GA01SUMO-RI003-02,depth_subsite,5200
GA01SUMO-RI003-02,First Deployment Date,2015-01
GA01SUMO-RI003-02,latitude,-42.9906
GA01SUMO-RI003-02,longitude,42.5104
GA01SUMO-RI003-02,Platform Agent Type,Shore CyberPoP - Global Mooring Server
GA01SUMO-RI003-02,Relative Depth,100 below sea surface
GA01SUMO-RI003-03,depth_port_max,20
GA01SUMO-RI003-03,depth_port_min,20
GA01SUMO-RI003-03,depth_subsite,5200
GA01SUMO-RI003-03,First Deployment Date,2015-01
GA01SUMO-RI003-03,latitude,-42.9906
GA01SUMO-RI003-03,longitude,42.5104
GA01SUMO-RI003-03,Platform Agent Type,Shore CyberPoP - Global Mooring Server
GA01SUMO-RI003-03,Relative Depth,20 below sea surface
GA01SUMO-RI003-04,depth_port_max,40
GA01SUMO-RI003-04,depth_port_min,40
GA01SUMO-RI003-04,depth_subsite,5200
GA01SUMO-RI003-04,First Deployment Date,2015-01
GA01SUMO-RI003-04,latitude,-42.9906
GA01SUMO-RI003-04,longitude,42.5104
GA01SUMO-RI003-04,Platform Agent Type,Shore CyberPoP - Global Mooring Server
GA01SUMO-RI003-04,Relative Depth,40 below sea surface
GA01SUMO-RI003-05,depth_port_max,60
GA01SUMO-RI003-05,depth_port_min,60
GA01SUMO-RI003-05,depth_subsite,5200
GA01SUMO-RI003-05,First Deployment Date,2015-01
GA01SUMO-RI003-05,latitude,-42.9906
GA01SUMO-RI003-05,longitude,42.5104
GA01SUMO-RI003-05,Platform Agent Type,Shore CyberPoP - Global Mooring Server
GA01SUMO-RI003-05,Relative Depth,60 below sea surface
GA01SUMO-RI003-06,depth_port_max,90
GA01SUMO-RI003-06,depth_port_min,90
GA01SUMO-RI003-06,depth_subsite,5200
GA01SUMO-RI003-06,First Deployment Date,2015-01
GA01SUMO-RI003-06,latitude,-42.9906
GA01SUMO-RI003-06,longitude,42.5104
GA01SUMO-RI003-06,Platform Agent Type,Shore CyberPoP - Global Mooring Server
GA01SUMO-RI003-06,Relative Depth,90 below sea surface
GA01SUMO-RI003-07,depth_port_max,130
GA01SUMO-RI003-07,depth_port_min,130
GA01SUMO-RI003-07,depth_subsite,5200
GA01SUMO-RI003-07,First Deployment Date,2015-01
GA01SUMO-RI003-07,latitude,-42.9906
GA01SUMO-RI003-07,longitude,42.5104
GA01SUMO-RI003-07,Platform Agent Type,Shore CyberPoP - Global Mooring Server
GA01SUMO-RI003-07,Relative Depth,130 below sea surface
GA01SUMO-RI003-08,depth_port_max,180
GA01SUMO-RI003-08,depth_port_min,180
GA01SUMO-RI003-08,depth_subsite,5200
GA01SUMO-RI003-08,First Deployment Date,2015-01
GA01SUMO-RI003-08,latitude,-42.9906
GA01SUMO-RI003-08,longitude,42.5104
GA01SUMO-RI003-08,Platform Agent Type,Shore CyberPoP - Global Mooring Server
GA01SUMO-RI003-08,Relative Depth,180 below sea surface
GA01SUMO-RI003-09,depth_port_max,250
GA01SUMO-RI003-09,depth_port_min,250
GA01SUMO-RI003-09,depth_subsite,5200
GA01SUMO-RI003-09,First Deployment Date,2015-01
GA01SUMO-RI003-09,latitude,-42.9906
GA01SUMO-RI003-09,longitude,42.5104
GA01SUMO-RI003-09,Platform Agent Type,Shore CyberPoP - Global Mooring Server
GA01SUMO-RI003-09,Relative Depth,250 below sea surface
GA01SUMO-RI003-10,depth_port_max,350
GA01SUMO-RI003-10,depth_port_min,350
GA01SUMO-RI003-10,depth_subsite,5200
GA01SUMO-RI003-10,First Deployment Date,2015-01
GA01SUMO-RI003-10,latitude,-42.9906
GA01SUMO-RI003-10,longitude,42.5104
GA01SUMO-RI003-10,Platform Agent Type,Shore CyberPoP - Global Mooring Server
GA01SUMO-RI003-10,Relative Depth,350 below sea surface
GA01SUMO-RI003-11,depth_port_max,500
GA01SUMO-RI003-11,depth_port_min,500
GA01SUMO-RI003-11,depth_subsite,5200
GA01SUMO-RI003-11,First Deployment Date,2015-01
GA01SUMO-RI003-11,latitude,-42.9906
GA01SUMO-RI003-11,longitude,42.5104
GA01SUMO-RI003-11,Platform Agent Type,Shore CyberPoP - Global Mooring Server
GA01SUMO-RI003-11,Relative Depth,500 below sea surface
GA01SUMO-RI003-12,depth_port_max,750
GA01SUMO-RI003-12,depth_port_min,750
GA01SUMO-RI003-12,depth_subsite,5200
GA01SUMO-RI003-12,First Deployment Date,2015-01
GA01SUMO-RI003-12,latitude,-42.9906
GA01SUMO-RI003-12,longitude,42.5104
GA01SUMO-RI003-12,Platform Agent Type,Shore CyberPoP - Global Mooring Server
GA01SUMO-RI003-12,Relative Depth,750 below sea surface
GA01SUMO-RI003-13,depth_port_max,1000
GA01SUMO-RI003-13,depth_port_min,1000
GA01SUMO-RI003-13,depth_subsite,5200
GA01SUMO-RI003-13,First Deployment Date,2015-01
GA01SUMO-RI003-13,latitude,-42.9906
GA01SUMO-RI003-13,longitude,42.5104
GA01SUMO-RI003-13,Platform Agent Type,Shore CyberPoP - Global Mooring Server
GA01SUMO-RI003-13,Relative Depth,1000 below sea surface
GA01SUMO-RI003-14,depth_port_max,1500
GA01SUMO-RI003-14,depth_port_min,1500
GA01SUMO-RI003-14,depth_subsite,5200
GA01SUMO-RI003-14,First Deployment Date,2015-01
GA01SUMO-RI003-14,latitude,-42.9906
GA01SUMO-RI003-14,longitude,42.5104
GA01SUMO-RI003-14,Platform Agent Type,Shore CyberPoP - Global Mooring Server
GA01SUMO-RI003-14,Relative Depth,1500 below sea surface
GA01SUMO-SB001-01,depth_port_max,-3
GA01SUMO-SB001-01,depth_port_min,-3
GA01SUMO-SB001-01,depth_subsite,5200
GA01SUMO-SB001-01,First Deployment Date,2015-01
GA01SUMO-SB001-01,latitude,-42.9906
GA01SUMO-SB001-01,longitude,42.5104
GA01SUMO-SB001-01,Platform Agent Type,Shore CyberPoP - Global Mooring Server
GA01SUMO-SB001-01,Relative Depth,~3 above sea surface
GA01SUMO-SB001-02,depth_port_max,-3
GA01SUMO-SB001-02,depth_port_min,-3
GA01SUMO-SB001-02,depth_subsite,5200
GA01SUMO-SB001-02,First Deployment Date,2015-01
GA01SUMO-SB001-02,latitude,-42.9906
GA01SUMO-SB001-02,longitude,42.5104
GA01SUMO-SB001-02,Platform Agent Type,Shore CyberPoP - Global Mooring Server
GA01SUMO-SB001-02,Relative Depth,~3 above sea surface
GA01SUMO-SB001-03,depth_port_max,0
GA01SUMO-SB001-03,depth_port_min,0
GA01SUMO-SB001-03,depth_subsite,5200
GA01SUMO-SB001-03,First Deployment Date,2015-01
GA01SUMO-SB001-03,latitude,-42.9906
GA01SUMO-SB001-03,longitude,42.5104
GA01SUMO-SB001-03,Platform Agent Type,Shore CyberPoP - Global Mooring Server
GA01SUMO-SB001-03,Relative Depth,Sea Surface
GA01SUMO-SB001-04,depth_port_max,-3
GA01SUMO-SB001-04,depth_port_min,-3
GA01SUMO-SB001-04,depth_subsite,5200
GA01SUMO-SB001-04,First Deployment Date,2015-01
GA01SUMO-SB001-04,latitude,-42.9906
GA01SUMO-SB001-04,longitude,42.5104
GA01SUMO-SB001-04,Platform Agent Type,Shore CyberPoP - Global Mooring Server
GA01SUMO-SB001-04,Relative Depth,~3 above sea surface
GA01SUMO-SB001-05,depth_port_max,0
GA01SUMO-SB001-05,depth_port_min,0
GA01SUMO-SB001-05,depth_subsite,5200
GA01SUMO-SB001-05,First Deployment Date,2015-01
GA01SUMO-SB001-05,latitude,-42.9906
GA01SUMO-SB001-05,longitude,42.5104
GA01SUMO-SB001-05,Platform Agent Type,Shore CyberPoP - Global Mooring Server
GA01SUMO-SB001-05,Relative Depth,Sea Surface
GA02HYPM-MP003-01,depth_port_max,150
GA02HYPM-MP003-01,depth_port_min,0
GA02HYPM-MP003-01,depth_subsite,5200
GA02HYPM-MP003-01,First Deployment Date,2015-01
GA02HYPM-MP003-01,latitude,-42.9222
GA02HYPM-MP003-01,longitude,42.5104
GA02HYPM-MP003-01,Platform Agent Type,Shore CyberPoP - Open Ocean Glider Dock Server
GA02HYPM-MP003-01,Relative Depth,Mounted at 150 measures up to surface
GA02HYPM-SP001-01,depth_port_max,150
GA02HYPM-SP001-01,depth_port_min,0
GA02HYPM-SP001-01,depth_subsite,5200
GA02HYPM-SP001-01,First Deployment Date,2015-01
GA02HYPM-SP001-01,latitude,-42.9222
GA02HYPM-SP001-01,longitude,42.5104
GA02HYPM-SP001-01,Platform Agent Type,Shore CyberPoP - Open Ocean Glider Dock Server
GA02HYPM-SP001-01,Relative Depth,Sea Surface to 150
GA02HYPM-SP001-02,depth_port_max,150
GA02HYPM-SP001-02,depth_port_min,0
GA02HYPM-SP001-02,depth_subsite,5200
GA02HYPM-SP001-02,First Deployment Date,2015-01
GA02HYPM-SP001-02,latitude,-42.9222
GA02HYPM-SP001-02,longitude,42.5104
GA02HYPM-SP001-02,Platform Agent Type,Shore CyberPoP - Open Ocean Glider Dock Server
GA02HYPM-SP001-02,Relative Depth,Sea Surface to 150
GA02HYPM-SP001-03,depth_port_max,150
GA02HYPM-SP001-03,depth_port_min,0
GA02HYPM-SP001-03,depth_subsite,5200
GA02HYPM-SP001-03,First Deployment Date,2015-01
GA02HYPM-SP001-03,latitude,-42.9222
GA02HYPM-SP001-03,longitude,42.5104
GA02HYPM-SP001-03,Platform Agent Type,Shore CyberPoP - Open Ocean Glider Dock Server
GA02HYPM-SP001-03,Relative Depth,Sea Surface to 150
GA02HYPM-SP001-04,depth_port_max,150
GA02HYPM-SP001-04,depth_port_min,0
GA02HYPM-SP001-04,depth_subsite,5200
GA02HYPM-SP001-04,First Deployment Date,2015-01
GA02HYPM-SP001-04,latitude,-42.9222
GA02HYPM-SP001-04,longitude,42.5104
GA02HYPM-SP001-04,Platform Agent Type,Shore CyberPoP - Open Ocean Glider Dock Server
GA02HYPM-SP001-04,Relative Depth,Sea Surface to 150
GA02HYPM-SP001-05,depth_port_max,150
GA02HYPM-SP001-05,depth_port_min,0
GA02HYPM-SP001-05,depth_subsite,5200
GA02HYPM-SP001-05,First Deployment Date,2015-01
GA02HYPM-SP001-05,latitude,-42.9222
GA02HYPM-SP001-05,longitude,42.5104
GA02HYPM-SP001-05,Platform Agent Type,Shore CyberPoP - Open Ocean Glider Dock Server
GA02HYPM-SP001-05,Relative Depth,Sea Surface to 150
GA02HYPM-SP001-06,depth_port_max,150
GA02HYPM-SP001-06,depth_port_min,0
GA02HYPM-SP001-06,depth_subsite,5200
GA02HYPM-SP001-06,First Deployment Date,2015-01
GA02HYPM-SP001-06,latitude,-42.9222
GA02HYPM-SP001-06,longitude,42.5104
GA02HYPM-SP001-06,Platform Agent Type,Shore CyberPoP - Open Ocean Glider Dock Server
GA02HYPM-SP001-06,Relative Depth,Sea Surface to 150
GA02HYPM-SP001-07,depth_port_max,150
GA02HYPM-SP001-07,depth_port_min,0
GA02HYPM-SP001-07,depth_subsite,5200
GA02HYPM-SP001-07,First Deployment Date,2015-01
GA02HYPM-SP001-07,latitude,-42.9222
GA02HYPM-SP001-07,longitude,42.5104
GA02HYPM-SP001-07,Platform Agent Type,Shore CyberPoP - Open Ocean Glider Dock Server
GA02HYPM-SP001-07,Relative Depth,Sea Surface to 150
GA02HYPM-WF002-01,depth_port_max,4200
GA02HYPM-WF002-01,depth_port_min,240
GA02HYPM-WF002-01,depth_subsite,5200
GA02HYPM-WF002-01,First Deployment Date,2015-01
GA02HYPM-WF002-01,latitude,-42.9222
GA02HYPM-WF002-01,longitude,42.5104
GA02HYPM-WF002-01,Platform Agent Type,Shore CyberPoP - Open Ocean Glider Dock Server
GA02HYPM-WF002-01,Relative Depth,~240 below sea surface to 4400
GA02HYPM-WF002-03,depth_port_max,4200
GA02HYPM-WF002-03,depth_port_min,240
GA02HYPM-WF002-03,depth_subsite,5200
GA02HYPM-WF002-03,First Deployment Date,2015-01
GA02HYPM-WF002-03,latitude,-42.9222
GA02HYPM-WF002-03,longitude,42.5104
GA02HYPM-WF002-03,Platform Agent Type,Shore CyberPoP - Open Ocean Glider Dock Server
GA02HYPM-WF002-03,Relative Depth,~240 below sea surface to 4400
GA02HYPM-WF002-04,depth_port_max,4200
GA02HYPM-WF002-04,depth_port_min,240
GA02HYPM-WF002-04,depth_subsite,5200
GA02HYPM-WF002-04,First Deployment Date,2015-01
GA02HYPM-WF002-04,latitude,-42.9222
GA02HYPM-WF002-04,longitude,42.5104
GA02HYPM-WF002-04,Platform Agent Type,Shore CyberPoP - Open Ocean Glider Dock Server
GA02HYPM-WF002-04,Relative Depth,~240 below sea surface to 4400
GA02HYPM-WF002-05,depth_port_max,4200
GA02HYPM-WF002-05,depth_port_min,240
GA02HYPM-WF002-05,depth_subsite,5200
GA02HYPM-WF002-05,First Deployment Date,2015-01
GA02HYPM-WF002-05,latitude,-42.9222
GA02HYPM-WF002-05,longitude,42.5104
GA02HYPM-WF002-05,Platform Agent Type,Shore CyberPoP - Open Ocean Glider Dock Server
GA02HYPM-WF002-05,Relative Depth,~240 below sea surface to 4400
GA02HYPM-WF004-01,depth_port_max,
GA02HYPM-WF004-01,depth_port_min,
GA02HYPM-WF004-01,depth_subsite,5200
GA02HYPM-WF004-01,First Deployment Date,2015-01
GA02HYPM-WF004-01,latitude,-42.9222
GA02HYPM-WF004-01,longitude,42.5104
GA02HYPM-WF004-01,Platform Agent Type,Shore CyberPoP - Open Ocean Glider Dock Server
GA02HYPM-WF004-01,Relative Depth,
GA02HYPM-WF004-03,depth_port_max,
GA02HYPM-WF004-03,depth_port_min,
GA02HYPM-WF004-03,depth_subsite,5200
GA02HYPM-WF004-03,First Deployment Date,2015-01
GA02HYPM-WF004-03,latitude,-42.9222
GA02HYPM-WF004-03,longitude,42.5104
GA02HYPM-WF004-03,Platform Agent Type,Shore CyberPoP - Open Ocean Glider Dock Server
GA02HYPM-WF004-03,Relative Depth,
GA02HYPM-WF004-04,depth_port_max,
GA02HYPM-WF004-04,depth_port_min,
GA02HYPM-WF004-04,depth_subsite,5200
GA02HYPM-WF004-04,First Deployment Date,2015-01
GA02HYPM-WF004-04,latitude,-42.9222
GA02HYPM-WF004-04,longitude,42.5104
GA02HYPM-WF004-04,Platform Agent Type,Shore CyberPoP - Open Ocean Glider Dock Server
GA02HYPM-WF004-04,Relative Depth,
GA02HYPM-WF004-05,depth_port_max,
GA02HYPM-WF004-05,depth_port_min,
GA02HYPM-WF004-05,depth_subsite,5200
GA02HYPM-WF004-05,First Deployment Date,2015-01
GA02HYPM-WF004-05,latitude,-42.9222
GA02HYPM-WF004-05,longitude,42.5104
GA02HYPM-WF004-05,Platform Agent Type,Shore CyberPoP - Open Ocean Glider Dock Server
GA02HYPM-WF004-05,Relative Depth,
GA03FLMA-RI001-01,depth_port_max,40
GA03FLMA-RI001-01,depth_port_min,40
GA03FLMA-RI001-01,depth_subsite,5200
GA03FLMA-RI001-01,First Deployment Date,2015-01
GA03FLMA-RI001-01,latitude,-42.5073
GA03FLMA-RI001-01,longitude,42.8905
GA03FLMA-RI001-01,Platform Agent Type,Shore CyberPoP - Open Ocean Glider Dock Server
GA03FLMA-RI001-01,Relative Depth,40 below sea surface
GA03FLMA-RI001-02,depth_port_max,40
GA03FLMA-RI001-02,depth_port_min,40
GA03FLMA-RI001-02,depth_subsite,5200
GA03FLMA-RI001-02,First Deployment Date,2015-01
GA03FLMA-RI001-02,latitude,-42.5073
GA03FLMA-RI001-02,longitude,42.8905
GA03FLMA-RI001-02,Platform Agent Type,Shore CyberPoP - Open Ocean Glider Dock Server
GA03FLMA-RI001-02,Relative Depth,40 below sea surface
GA03FLMA-RI001-03,depth_port_max,40
GA03FLMA-RI001-03,depth_port_min,40
GA03FLMA-RI001-03,depth_subsite,5200
GA03FLMA-RI001-03,First Deployment Date,2015-01
GA03FLMA-RI001-03,latitude,-42.5073
GA03FLMA-RI001-03,longitude,42.8905
GA03FLMA-RI001-03,Platform Agent Type,Shore CyberPoP - Open Ocean Glider Dock Server
GA03FLMA-RI001-03,Relative Depth,40 below sea surface
GA03FLMA-RI001-04,depth_port_max,500
GA03FLMA-RI001-04,depth_port_min,0
GA03FLMA-RI001-04,depth_subsite,5200
GA03FLMA-RI001-04,First Deployment Date,2015-01
GA03FLMA-RI001-04,latitude,-42.5073
GA03FLMA-RI001-04,longitude,42.8905
GA03FLMA-RI001-04,Platform Agent Type,Shore CyberPoP - Open Ocean Glider Dock Server
GA03FLMA-RI001-04,Relative Depth,Mounted at 500 measure to surface
GA03FLMA-RI001-06,depth_port_max,30
GA03FLMA-RI001-06,depth_port_min,30
GA03FLMA-RI001-06,depth_subsite,5200
GA03FLMA-RI001-06,First Deployment Date,2015-01
GA03FLMA-RI001-06,latitude,-42.5073
GA03FLMA-RI001-06,longitude,42.8905
GA03FLMA-RI001-06,Platform Agent Type,Shore CyberPoP - Open Ocean Glider Dock Server
GA03FLMA-RI001-06,Relative Depth,30 below sea surface
GA03FLMA-RI001-07,depth_port_max,40
GA03FLMA-RI001-07,depth_port_min,40
GA03FLMA-RI001-07,depth_subsite,5200
GA03FLMA-RI001-07,First Deployment Date,2015-01
GA03FLMA-RI001-07,latitude,-42.5073
GA03FLMA-RI001-07,longitude,42.8905
GA03FLMA-RI001-07,Platform Agent Type,Shore CyberPoP - Open Ocean Glider Dock Server
GA03FLMA-RI001-07,Relative Depth,40 below sea surface
GA03FLMA-RI001-08,depth_port_max,60
GA03FLMA-RI001-08,depth_port_min,60
GA03FLMA-RI001-08,depth_subsite,5200
GA03FLMA-RI001-08,First Deployment Date,2015-01
GA03FLMA-RI001-08,latitude,-42.5073
GA03FLMA-RI001-08,longitude,42.8905
GA03FLMA-RI001-08,Platform Agent Type,Shore CyberPoP - Open Ocean Glider Dock Server
GA03FLMA-RI001-08,Relative Depth,60 below sea surface
GA03FLMA-RI001-09,depth_port_max,90
GA03FLMA-RI001-09,depth_port_min,90
GA03FLMA-RI001-09,depth_subsite,5200
GA03FLMA-RI001-09,First Deployment Date,2015-01
GA03FLMA-RI001-09,latitude,-42.5073
GA03FLMA-RI001-09,longitude,42.8905
GA03FLMA-RI001-09,Platform Agent Type,Shore CyberPoP - Open Ocean Glider Dock Server
GA03FLMA-RI001-09,Relative Depth,90 below sea surface
GA03FLMA-RI001-10,depth_port_max,130
GA03FLMA-RI001-10,depth_port_min,130
GA03FLMA-RI001-10,depth_subsite,5200
GA03FLMA-RI001-10,First Deployment Date,2015-01
GA03FLMA-RI001-10,latitude,-42.5073
GA03FLMA-RI001-10,longitude,42.8905
GA03FLMA-RI001-10,Platform Agent Type,Shore CyberPoP - Open Ocean Glider Dock Server
GA03FLMA-RI001-10,Relative Depth,130 below sea surface
GA03FLMA-RI001-11,depth_port_max,180
GA03FLMA-RI001-11,depth_port_min,180
GA03FLMA-RI001-11,depth_subsite,5200
GA03FLMA-RI001-11,First Deployment Date,2015-01
GA03FLMA-RI001-11,latitude,-42.5073
GA03FLMA-RI001-11,longitude,42.8905
GA03FLMA-RI001-11,Platform Agent Type,Shore CyberPoP - Open Ocean Glider Dock Server
GA03FLMA-RI001-11,Relative Depth,180 below sea surface
GA03FLMA-RI001-12,depth_port_max,250
GA03FLMA-RI001-12,depth_port_min,250
GA03FLMA-RI001-12,depth_subsite,5200
GA03FLMA-RI001-12,First Deployment Date,2015-01
GA03FLMA-RI001-12,latitude,-42.5073
GA03FLMA-RI001-12,longitude,42.8905
GA03FLMA-RI001-12,Platform Agent Type,Shore CyberPoP - Open Ocean Glider Dock Server
GA03FLMA-RI001-12,Relative Depth,250 below sea surface
GA03FLMA-RI001-13,depth_port_max,350
GA03FLMA-RI001-13,depth_port_min,350
GA03FLMA-RI001-13,depth_subsite,5200
GA03FLMA-RI001-13,First Deployment Date,2015-01
GA03FLMA-RI001-13,latitude,-42.5073
GA03FLMA-RI001-13,longitude,42.8905
GA03FLMA-RI001-13,Platform Agent Type,Shore CyberPoP - Open Ocean Glider Dock Server
GA03FLMA-RI001-13,Relative Depth,350 below sea surface
GA03FLMA-RI001-14,depth_port_max,500
GA03FLMA-RI001-14,depth_port_min,500
GA03FLMA-RI001-14,depth_subsite,5200
GA03FLMA-RI001-14,First Deployment Date,2015-01
GA03FLMA-RI001-14,latitude,-42.5073
GA03FLMA-RI001-14,longitude,42.8905
GA03FLMA-RI001-14,Platform Agent Type,Shore CyberPoP - Open Ocean Glider Dock Server
GA03FLMA-RI001-14,Relative Depth,500 below sea surface
GA03FLMA-RI001-15,depth_port_max,750
GA03FLMA-RI001-15,depth_port_min,750
GA03FLMA-RI001-15,depth_subsite,5200
GA03FLMA-RI001-15,First Deployment Date,2015-01
GA03FLMA-RI001-15,latitude,-42.5073
GA03FLMA-RI001-15,longitude,42.8905
GA03FLMA-RI001-15,Platform Agent Type,Shore CyberPoP - Open Ocean Glider Dock Server
GA03FLMA-RI001-15,Relative Depth,750 below sea surface
GA03FLMA-RI001-16,depth_port_max,1000
GA03FLMA-RI001-16,depth_port_min,1000
GA03FLMA-RI001-16,depth_subsite,5200
GA03FLMA-RI001-16,First Deployment Date,2015-01
GA03FLMA-RI001-16,latitude,-42.5073
GA03FLMA-RI001-16,longitude,42.8905
GA03FLMA-RI001-16,Platform Agent Type,Shore CyberPoP - Open Ocean Glider Dock Server
GA03FLMA-RI001-16,Relative Depth,1000 below sea surface
GA03FLMA-RI001-17,depth_port_max,1500
GA03FLMA-RI001-17,depth_port_min,1500
GA03FLMA-RI001-17,depth_subsite,5200
GA03FLMA-RI001-17,First Deployment Date,2015-01
GA03FLMA-RI001-17,latitude,-42.5073
GA03FLMA-RI001-17,longitude,42.8905
GA03FLMA-RI001-17,Platform Agent Type,Shore CyberPoP - Open Ocean Glider Dock Server
GA03FLMA-RI001-17,Relative Depth,1500 below sea surface
GA03FLMB-RI001-01,depth_port_max,40
GA03FLMB-RI001-01,depth_port_min,40
GA03FLMB-RI001-01,depth_subsite,5200
GA03FLMB-RI001-01,First Deployment Date,2015-01
GA03FLMB-RI001-01,latitude,-42.5073
GA03FLMB-RI001-01,longitude,42.1303
GA03FLMB-RI001-01,Platform Agent Type,Shore CyberPoP - Open Ocean Glider Dock Server
GA03FLMB-RI001-01,Relative Depth,40 below sea surface
GA03FLMB-RI001-02,depth_port_max,40
GA03FLMB-RI001-02,depth_port_min,40
GA03FLMB-RI001-02,depth_subsite,5200
GA03FLMB-RI001-02,First Deployment Date,2015-01
GA03FLMB-RI001-02,latitude,-42.5073
GA03FLMB-RI001-02,longitude,42.1303
GA03FLMB-RI001-02,Platform Agent Type,Shore CyberPoP - Open Ocean Glider Dock Server
GA03FLMB-RI001-02,Relative Depth,40 below sea surface
GA03FLMB-RI001-03,depth_port_max,40
GA03FLMB-RI001-03,depth_port_min,40
GA03FLMB-RI001-03,depth_subsite,5200
GA03FLMB-RI001-03,First Deployment Date,2015-01
GA03FLMB-RI001-03,latitude,-42.5073
GA03FLMB-RI001-03,longitude,42.1303
GA03FLMB-RI001-03,Platform Agent Type,Shore CyberPoP - Open Ocean Glider Dock Server
GA03FLMB-RI001-03,Relative Depth,40 below sea surface
GA03FLMB-RI001-04,depth_port_max,500
GA03FLMB-RI001-04,depth_port_min,0
GA03FLMB-RI001-04,depth_subsite,5200
GA03FLMB-RI001-04,First Deployment Date,2015-01
GA03FLMB-RI001-04,latitude,-42.5073
GA03FLMB-RI001-04,longitude,42.1303
GA03FLMB-RI001-04,Platform Agent Type,Shore CyberPoP - Open Ocean Glider Dock Server
GA03FLMB-RI001-04,Relative Depth,Mounted at 500 measures to surface
GA03FLMB-RI001-06,depth_port_max,30
GA03FLMB-RI001-06,depth_port_min,30
GA03FLMB-RI001-06,depth_subsite,5200
GA03FLMB-RI001-06,First Deployment Date,2015-01
GA03FLMB-RI001-06,latitude,-42.5073
GA03FLMB-RI001-06,longitude,42.1303
GA03FLMB-RI001-06,Platform Agent Type,Shore CyberPoP - Open Ocean Glider Dock Server
GA03FLMB-RI001-06,Relative Depth,30 below sea surface
GA03FLMB-RI001-07,depth_port_max,40
GA03FLMB-RI001-07,depth_port_min,40
GA03FLMB-RI001-07,depth_subsite,5200
GA03FLMB-RI001-07,First Deployment Date,2015-01
GA03FLMB-RI001-07,latitude,-42.5073
GA03FLMB-RI001-07,longitude,42.1303
GA03FLMB-RI001-07,Platform Agent Type,Shore CyberPoP - Open Ocean Glider Dock Server
GA03FLMB-RI001-07,Relative Depth,40 below sea surface
GA03FLMB-RI001-08,depth_port_max,60
GA03FLMB-RI001-08,depth_port_min,60
GA03FLMB-RI001-08,depth_subsite,5200
GA03FLMB-RI001-08,First Deployment Date,2015-01
GA03FLMB-RI001-08,latitude,-42.5073
